iter	Passed	Remaining
0	64	194750
1	103	155262
2	120	120603
3	173	129761
4	221	132666
5	254	126780
6	317	135913
7	385	144022
8	397	132125
9	451	135118
10	508	138072
11	564	140679
12	619	142446
13	678	144616
14	705	140300
15	722	134804
16	774	135895
17	799	132511
18	852	133695
19	898	133925
20	931	132178
21	954	129257
22	1041	134832
23	1095	135795
24	1131	134663
25	1154	132098
26	1190	131072
27	1221	129682
28	1256	128739
29	1309	129618
30	1475	141361
31	1538	142731
32	1596	143556
33	1655	144377
34	1706	144589
35	1765	145352
36	1825	146190
37	1866	145476
38	1890	143523
39	1923	142338
40	1984	143189
41	2040	143736
42	2061	141779
43	2117	142239
44	2136	140280
45	2187	140466
46	2220	139501
47	2238	137693
48	2288	137817
49	2314	136527
50	2823	163273
51	3208	181871
52	3248	180640
53	3334	181941
54	3424	183345
55	3482	183078
56	3539	182767
57	3593	182275
58	3654	182174
59	3708	181692
60	3764	181390
61	3819	180980
62	3866	180232
63	3942	180884
64	4012	181178
65	4055	180279
66	4089	179001
67	4142	178607
68	4199	178378
69	4250	177926
70	4274	176341
71	4327	175966
72	4377	175529
73	4434	175345
74	4491	175165
75	4546	174901
76	4628	175709
77	4652	174294
78	4710	174167
79	4763	173854
80	4821	173762
81	4884	173814
82	4908	172501
83	4978	172820
84	5035	172671
85	5071	171854
86	5138	172045
87	5209	172384
88	5242	171485
89	5301	171421
90	5322	170134
91	5334	168611
92	5383	168277
93	5432	167936
94	5484	167695
95	5516	166886
96	5574	166833
97	5647	167238
98	5709	167320
99	5724	166020
100	5744	164896
101	5818	165323
102	5885	165530
103	5961	166007
104	6011	165756
105	6062	165509
106	6101	164978
107	6171	165250
108	6232	165304
109	6290	165269
110	6345	165145
111	6396	164936
112	6432	164352
113	6485	164176
114	6549	164299
115	6608	164309
116	6673	164451
117	6733	164451
118	6790	164392
119	6846	164319
120	6861	163264
121	6913	163100
122	6957	162727
123	7010	162591
124	7064	162486
125	7123	162482
126	7180	162428
127	7239	162427
128	7252	161408
129	7307	161325
130	7321	160343
131	7372	160190
132	7426	160087
133	7479	159973
134	7523	159660
135	7581	159654
136	7647	159806
137	7706	159823
138	7757	159678
139	7803	159419
140	7858	159351
141	7915	159303
142	7973	159302
143	8025	159175
144	8074	158980
145	8133	158989
146	8157	158330
147	8232	158645
148	8284	158513
149	8322	158118
150	8377	158057
151	8429	157948
152	8481	157829
153	8532	157691
154	8591	157702
155	8653	157761
156	8712	157770
157	8726	156959
158	8737	156129
159	8790	156025
160	8849	156046
161	8911	156116
162	8968	156099
163	9022	156030
164	9089	156180
165	9148	156188
166	9214	156309
167	9273	156320
168	9332	156337
169	9390	156316
170	9450	156353
171	9473	155767
172	9541	155919
173	9647	156693
174	9722	156950
175	9778	156895
176	9832	156823
177	9887	156751
178	9939	156637
179	9994	156574
180	10045	156456
181	10098	156355
182	10138	156061
183	10193	156009
184	10264	156189
185	10321	156149
186	10376	156085
187	10391	155424
188	10445	155362
189	10502	155329
190	10517	154683
191	10571	154603
192	10625	154542
193	10685	154551
194	10748	154617
195	10815	154727
196	10883	154861
197	10942	154859
198	10995	154761
199	11047	154658
200	11098	154551
201	11153	154488
202	11221	154612
203	11264	154391
204	11319	154325
205	11388	154468
206	11452	154530
207	11492	154265
208	11524	153896
209	11580	153860
210	11661	154136
211	11714	154062
212	11771	154024
213	11805	153692
214	11861	153653
215	11920	153646
216	11981	153662
217	12033	153565
218	12087	153500
219	12143	153445
220	12197	153383
221	12248	153271
222	12309	153292
223	12333	152844
224	12426	153262
225	12521	153690
226	12580	153684
227	12635	153625
228	12689	153542
229	12742	153462
230	12799	153431
231	12894	153847
232	13091	155473
233	13303	157253
234	13544	159358
235	13854	162257
236	13959	162739
237	14033	162863
238	14152	163494
239	14262	164017
240	14396	164814
241	14457	164768
242	14525	164797
243	14577	164651
244	14631	164531
245	14696	164531
246	14761	164530
247	14823	164489
248	14884	164449
249	14935	164285
250	14988	164160
251	15055	164180
252	15249	165573
253	15320	165627
254	15379	165560
255	15438	165479
256	15530	165762
257	15598	165780
258	15660	165736
259	15717	165635
260	15782	165627
261	15857	165718
262	15918	165659
263	15974	165557
264	16041	165562
265	16102	165500
266	16158	165397
267	16211	165259
268	16277	165252
269	16342	165240
270	16411	165268
271	16494	165428
272	16553	165351
273	16611	165266
274	16669	165181
275	16726	165081
276	16787	165022
277	16848	164973
278	16905	164870
279	16969	164850
280	17035	164838
281	17086	164685
282	17137	164534
283	17193	164430
284	17267	164498
285	17334	164498
286	17409	164569
287	17491	164713
288	17584	164957
289	17655	164989
290	17724	164999
291	17795	165036
292	17869	165098
293	17945	165171
294	18029	165319
295	18103	165379
296	18178	165446
297	18250	165482
298	18327	165558
299	18396	165565
300	18466	165587
301	18538	165623
302	18595	165519
303	18657	165466
304	18713	165349
305	18775	165300
306	18841	165278
307	18900	165193
308	18963	165150
309	19035	165180
310	19121	165327
311	19194	165368
312	19257	165322
313	19312	165203
314	19369	165099
315	19425	164995
316	19475	164837
317	19531	164731
318	19604	164766
319	19669	164730
320	19722	164599
321	19781	164515
322	19856	164567
323	19918	164514
324	19974	164409
325	20027	164270
326	20102	164321
327	20161	164239
328	20225	164200
329	20285	164131
330	20344	164043
331	20402	163955
332	20464	163904
333	20529	163869
334	20598	163863
335	20651	163740
336	20706	163626
337	20771	163589
338	20839	163581
339	20900	163515
340	20957	163421
341	21011	163302
342	21071	163228
343	21127	163123
344	21186	163042
345	21255	163042
346	21328	163070
347	21387	162988
348	21444	162894
349	21538	163080
350	21602	163032
351	21676	163069
352	21743	163048
353	21816	163072
354	21879	163017
355	21934	162903
356	21990	162800
357	22049	162719
358	22104	162611
359	22160	162512
360	22212	162375
361	22266	162260
362	22323	162171
363	22379	162067
364	22431	161937
365	22488	161842
366	22549	161775
367	22599	161636
368	22658	161558
369	22714	161453
370	22786	161471
371	22845	161391
372	22898	161273
373	22961	161223
374	23022	161160
375	23076	161041
376	23137	160982
377	23206	160969
378	23262	160874
379	23317	160766
380	23373	160668
381	23430	160580
382	23485	160473
383	23554	160467
384	23611	160374
385	23674	160322
386	23728	160210
387	23785	160123
388	23840	160016
389	23899	159939
390	23957	159858
391	24009	159738
392	24064	159633
393	24119	159534
394	24182	159482
395	24237	159382
396	24289	159257
397	24340	159133
398	24391	159000
399	24443	158881
400	24494	158753
401	24549	158653
402	24605	158563
403	24662	158471
404	24716	158366
405	24782	158341
406	24848	158312
407	24901	158197
408	24952	158072
409	25017	158035
410	25083	158010
411	25145	157954
412	25209	157909
413	25270	157851
414	25327	157764
415	25381	157658
416	25432	157532
417	25485	157423
418	25539	157323
419	25595	157229
420	25651	157141
421	25701	157007
422	25753	156895
423	25808	156797
424	25862	156698
425	25916	156592
426	25975	156521
427	26025	156394
428	26077	156285
429	26132	156184
430	26190	156110
431	26244	156010
432	26297	155903
433	26347	155778
434	26409	155727
435	26480	155721
436	26539	155653
437	26594	155562
438	26650	155473
439	26702	155362
440	26754	155249
441	26809	155154
442	26863	155058
443	26924	154994
444	26977	154891
445	27027	154769
446	27080	154665
447	27134	154572
448	27189	154479
449	27247	154402
450	27310	154354
451	27365	154266
452	27422	154181
453	27484	154128
454	27536	154021
455	27594	153947
456	27649	153855
457	27706	153777
458	27774	153758
459	27835	153700
460	27906	153698
461	27986	153744
462	28039	153641
463	28095	153555
464	28159	153514
465	28222	153467
466	28276	153371
467	28333	153289
468	28394	153235
469	28444	153116
470	28494	153001
471	28548	152904
472	28601	152803
473	28653	152696
474	28714	152639
475	28762	152513
476	28816	152418
477	28875	152351
478	28931	152270
479	28987	152186
480	29044	152105
481	29096	152002
482	29155	151935
483	29218	151886
484	29269	151778
485	29334	151742
486	29401	151717
487	29463	151664
488	29512	151547
489	29566	151455
490	29632	151420
491	29688	151341
492	29742	151248
493	29802	151182
494	29866	151142
495	29921	151056
496	29982	150998
497	30057	151012
498	30121	150969
499	30180	150900
500	30243	150854
501	30295	150753
502	30355	150691
503	30410	150606
504	30465	150515
505	30516	150410
506	30580	150371
507	30640	150307
508	30695	150221
509	30747	150119
510	30800	150025
511	30857	149949
512	30915	149879
513	30969	149784
514	31026	149711
515	31076	149602
516	31127	149497
517	31190	149447
518	31247	149376
519	31298	149270
520	31382	149324
521	31438	149240
522	31496	149170
523	31547	149065
524	31600	148972
525	31648	148857
526	31710	148806
527	31766	148723
528	31822	148643
529	31878	148566
530	31930	148466
531	31987	148393
532	32041	148304
533	32093	148205
534	32148	148122
535	32202	148034
536	32257	147952
537	32310	147857
538	32365	147776
539	32431	147743
540	32487	147663
541	32544	147591
542	32596	147496
543	32653	147420
544	32710	147345
545	32760	147243
546	32813	147149
547	32868	147069
548	32924	146992
549	32978	146904
550	33037	146838
551	33106	146819
552	33159	146728
553	33209	146625
554	33267	146555
555	33325	146489
556	33383	146421
557	33435	146324
558	33490	146244
559	33557	146215
560	33610	146126
561	33660	146021
562	33713	145933
563	33767	145846
564	33820	145755
565	33874	145671
566	33936	145622
567	33999	145574
568	34055	145499
569	34112	145426
570	34171	145363
571	34226	145284
572	34292	145251
573	34343	145151
574	34396	145064
575	34453	144991
576	34509	144915
577	34575	144882
578	34627	144791
579	34680	144700
580	34734	144616
581	34791	144544
582	34850	144481
583	34901	144385
584	34955	144304
585	35014	144239
586	35066	144150
587	35118	144059
588	35174	143981
589	35229	143902
590	35283	143821
591	35335	143731
592	35400	143693
593	35454	143610
594	35508	143524
595	35563	143446
596	35618	143369
597	35671	143284
598	35724	143196
599	35779	143117
600	35846	143089
601	35929	143120
602	35996	143092
603	36054	143025
604	36108	142942
605	36170	142891
606	36260	142953
607	36367	143077
608	36461	143152
609	36553	143218
610	36614	143161
611	36667	143076
612	36721	142991
613	36779	142922
614	36841	142874
615	36895	142788
616	36951	142715
617	37012	142661
618	37074	142608
619	37134	142548
620	37203	142523
621	37257	142442
622	37318	142383
623	37372	142301
624	37432	142243
625	37491	142181
626	37545	142098
627	37597	142010
628	37654	141936
629	37707	141851
630	37761	141768
631	37814	141685
632	37867	141600
633	37921	141519
634	37974	141433
635	38026	141342
636	38082	141270
637	38135	141185
638	38195	141126
639	38251	141052
640	38303	140962
