iter	Passed	Remaining
0	38	115777
1	81	122664
2	128	128425
3	147	110787
4	196	117615
5	213	106563
6	250	107030
7	361	135330
8	866	287869
9	913	273284
10	975	265157
11	1030	256654
12	1084	249235
13	1114	237725
14	1125	224065
15	1199	223737
16	1255	220238
17	1282	212514
18	1320	207175
19	1381	205915
20	1443	204816
21	1465	198385
22	1519	196705
23	1571	194875
24	1621	192929
25	1653	189136
26	1692	186389
27	1740	184777
28	1781	182491
29	1821	180361
30	1864	178576
31	1904	176619
32	1946	174989
33	1986	173301
34	2026	171631
35	2070	170447
36	2116	169469
37	2167	168916
38	2182	165725
39	2224	164580
40	2266	163598
41	2276	160341
42	2304	158480
43	2343	157461
44	2393	157201
45	2441	156756
46	2482	155983
47	2524	155266
48	2568	154670
49	2610	154001
50	2646	153046
51	2686	152294
52	2729	151766
53	2750	150068
54	2794	149655
55	2835	149090
56	2878	148618
57	2888	146538
58	2927	145924
59	2967	145384
60	3010	145054
61	3040	144062
62	3082	143715
63	3128	143529
64	3179	143569
65	3226	143436
66	3267	143058
67	3306	142581
68	3330	141453
69	3348	140170
70	3368	138968
71	3416	138925
72	3463	138870
73	3474	137380
74	3522	137396
75	3562	137081
76	3601	136729
77	3641	136417
78	3656	135200
79	3695	134873
80	3736	134635
81	3774	134329
82	3785	133029
83	3824	132775
84	3865	132565
85	3877	131378
86	3919	131224
87	3961	131100
88	4002	130923
89	4018	129927
90	4038	129093
91	4072	128714
92	4111	128514
93	4153	128409
94	4199	128404
95	4240	128266
96	4274	127917
97	4321	127973
98	4369	128043
99	4419	128169
100	4466	128201
101	4494	127710
102	4538	127637
103	4584	127664
104	4630	127658
105	4674	127613
106	4718	127587
107	4760	127485
108	4797	127242
109	4842	127220
110	4889	127252
111	4915	126754
112	4962	126776
113	5006	126748
114	5048	126652
115	5094	126651
116	5132	126469
117	5179	126501
118	5225	126521
119	5270	126491
120	5316	126487
121	5359	126422
122	5398	126271
123	5441	126212
124	5484	126134
125	5530	126151
126	5575	126118
127	5597	125601
128	5647	125695
129	5689	125605
130	5730	125491
131	5770	125382
132	5810	125258
133	5816	124404
134	5857	124311
135	5903	124322
136	5940	124142
137	5982	124063
138	6028	124073
139	6075	124105
140	6116	124027
141	6159	123963
142	6169	123265
143	6214	123255
144	6264	123339
145	6316	123481
146	6370	123645
147	6420	123716
148	6441	123244
149	6484	123207
150	6531	123234
151	6583	123349
152	6635	123481
153	6694	123717
154	6740	123713
155	6783	123664
156	6822	123546
157	6836	122976
158	6880	122945
159	6900	122492
160	6936	122307
161	6953	121823
162	6996	121780
163	7042	121790
164	7086	121756
165	7127	121675
166	7171	121654
167	7214	121612
168	7256	121551
169	7295	121450
170	7335	121357
171	7373	121228
172	7409	121084
173	7433	120725
174	7443	120162
175	7483	120072
176	7524	120007
177	7563	119903
178	7600	119781
179	7627	119493
180	7667	119423
181	7712	119419
182	7761	119483
183	7817	119644
184	7885	119990
185	7931	119990
186	7971	119915
187	8012	119848
188	8061	119896
189	8111	119957
190	8175	120238
191	8238	120486
192	8293	120616
193	8356	120864
194	8404	120893
195	8449	120877
196	8488	120782
197	8528	120690
198	8567	120589
199	8607	120508
200	8646	120410
201	8684	120290
202	8722	120182
203	8768	120176
204	8805	120060
205	8853	120086
206	8908	120194
207	8952	120171
208	8995	120120
209	9040	120106
210	9079	120009
211	9119	119930
212	9161	119877
213	9202	119803
214	9243	119733
215	9282	119642
216	9318	119505
217	9358	119422
218	9397	119333
219	9438	119264
220	9484	119270
221	9551	119520
222	9602	119576
223	9650	119599
224	9696	119585
225	9743	119588
226	9787	119568
227	9831	119535
228	9878	119530
229	9920	119476
230	9963	119434
231	10016	119510
232	10061	119479
233	10115	119575
234	10170	119667
235	10219	119692
236	10280	119848
237	10322	119798
238	10363	119724
239	10407	119680
240	10447	119604
241	10498	119643
242	10544	119631
243	10582	119529
244	10623	119456
245	10665	119396
246	10709	119365
247	10756	119360
248	10803	119363
249	10858	119446
250	10922	119624
251	10965	119580
252	11013	119582
253	11063	119605
254	11108	119584
255	11161	119642
256	11218	119740
257	11268	119762
258	11309	119685
259	11351	119631
260	11400	119638
261	11448	119640
262	11488	119555
263	11527	119462
264	11574	119457
265	11629	119530
266	11668	119434
267	11710	119372
268	11751	119310
269	11794	119251
270	11833	119169
271	11883	119180
272	11922	119090
273	11959	118980
274	11996	118869
275	12036	118793
276	12075	118707
277	12119	118670
278	12164	118637
279	12206	118574
280	12252	118552
281	12294	118494
282	12348	118555
283	12394	118530
284	12435	118467
285	12482	118452
286	12542	118564
287	12592	118581
288	12636	118542
289	12674	118445
290	12716	118383
291	12764	118379
292	12819	118440
293	12872	118480
294	12911	118394
295	12956	118355
296	12998	118301
297	13041	118251
298	13087	118226
299	13143	118290
300	13188	118258
301	13231	118209
302	13290	118299
303	13353	118425
304	13421	118597
305	13486	118736
306	13560	118948
307	13620	119050
308	13678	119125
309	13737	119209
310	13778	119137
311	13819	119060
312	13856	118952
313	13898	118893
314	13939	118817
315	13978	118729
316	14016	118630
317	14057	118563
318	14100	118509
319	14149	118503
320	14197	118492
321	14241	118439
322	14283	118378
323	14328	118345
324	14371	118289
325	14412	118216
326	14452	118137
327	14491	118050
328	14531	117977
329	14570	117887
330	14610	117808
331	14651	117742
332	14692	117671
333	14737	117638
334	14791	117673
335	14856	117786
336	14904	117774
337	14946	117718
338	14998	117730
339	15059	117819
340	15102	117765
341	15143	117696
342	15185	117629
343	15229	117589
344	15280	117590
