iter	Passed	Remaining
0	41	125856
1	97	145544
2	136	136111
3	184	138442
4	228	136614
5	278	138769
6	320	136972
7	373	139621
8	386	128393
9	405	121306
10	511	138855
11	660	164477
12	746	171560
13	835	178178
14	931	185270
15	1020	190230
16	1431	251177
17	1547	256298
18	1567	245904
19	1665	248199
20	2111	299586
21	2316	313525
22	2527	327095
23	2636	326964
24	2705	322008
25	2718	311000
26	2729	300520
27	2779	295067
28	2811	288075
29	2855	282661
30	2886	276404
31	2929	271669
32	2972	267273
33	3000	261768
34	3044	257872
35	3075	253249
36	3095	247899
37	3142	244986
38	3191	242271
39	3235	239413
40	3253	234781
41	3294	232035
42	3336	229421
43	3385	227462
44	3447	226374
45	3494	224432
46	3533	221995
47	3585	220507
48	3634	218894
49	3670	216586
50	3713	214726
51	3758	213050
52	3800	211296
53	3845	209816
54	3884	208021
55	3923	206265
56	3940	203447
57	4003	203097
58	4117	205253
59	4179	204789
60	4223	203492
61	4265	202152
62	4307	200791
63	4349	199545
64	4370	197337
65	4410	196044
66	4420	193526
67	4451	191950
68	4496	191019
69	4538	189981
70	4578	188878
71	4620	187915
72	4663	186972
73	4682	185166
74	4703	183427
75	4720	181623
76	4762	180801
77	4810	180214
78	4851	179379
79	4891	178556
80	4929	177635
81	4969	176850
82	5009	176058
83	5048	175251
84	5053	173313
85	5096	172703
86	5149	172432
87	5197	172006
88	5248	171652
89	5292	171113
90	5310	169756
91	5349	169102
92	5400	168823
93	5447	168407
94	5492	167964
95	5512	166739
96	5548	166061
97	5597	165755
98	5644	165411
99	5689	164982
100	5731	164511
101	5778	164170
102	5820	163700
103	5840	162636
104	5882	162188
105	5924	161757
106	5969	161399
107	6013	161041
108	6065	160884
109	6126	160969
110	6181	160877
111	6221	160437
112	6263	160026
113	6279	158977
114	6320	158565
115	6348	157830
116	6386	157372
117	6428	157004
118	6465	156529
119	6504	156106
120	6545	155733
121	6599	155692
122	6620	154864
123	6629	153757
124	6680	153653
125	6719	153278
126	6746	152625
127	6772	151951
128	6814	151667
129	6858	151408
130	6872	150518
131	6920	150364
132	6979	150454
133	7044	150662
134	7076	150179
135	7088	149270
136	7127	148955
137	7174	148797
138	7219	148590
139	7285	148822
140	7333	148698
141	7378	148514
142	7424	148339
143	7474	148253
