iter	Passed	Remaining
0	32	98753
1	72	109057
2	121	121133
3	170	127444
4	197	118249
5	233	116758
6	271	116012
7	313	117262
8	334	111149
9	373	111798
10	407	110842
11	439	109392
12	478	109898
13	522	111339
14	532	106015
15	572	106782
16	614	107839
17	649	107566
18	688	108086
19	727	108422
20	766	108750
21	807	109273
22	828	107252
23	870	107929
24	909	108182
25	948	108476
26	989	108981
27	1031	109529
28	1069	109553
29	1110	109914
30	1152	110367
31	1197	111045
32	1229	110579
33	1275	111264
34	1289	109237
35	1330	109503
36	1365	109379
37	1403	109378
38	1446	109821
39	1495	110632
40	1531	110500
41	1555	109579
42	1595	109697
43	1641	110281
44	1677	110182
45	1717	110268
46	1757	110440
47	1802	110840
48	1841	110913
49	1879	110914
50	1914	110685
51	1957	110970
52	1998	111105
53	2036	111083
54	2050	109786
55	2084	109566
56	2120	109484
57	2159	109543
58	2201	109738
59	2238	109672
60	2275	109619
61	2291	108575
62	2304	107411
63	2341	107425
64	2383	107612
65	2420	107593
66	2461	107773
67	2505	108028
68	2539	107873
69	2555	106980
70	2595	107093
71	2637	107247
72	2686	107719
73	2726	107802
74	2758	107584
75	2786	107194
76	2825	107242
77	2864	107324
78	2906	107458
79	2957	107931
80	3003	108236
81	3048	108499
82	3086	108489
83	3132	108741
84	3171	108761
85	3211	108833
86	3251	108855
87	3296	109071
88	3348	109528
89	3401	109996
90	3433	109746
91	3480	110001
92	3529	110321
93	3574	110508
94	3616	110588
95	3654	110554
96	3696	110640
97	3736	110638
98	3781	110796
99	3822	110858
100	3840	110221
101	3875	110115
102	3912	110043
103	3937	109632
104	3975	109620
105	3987	108870
106	4028	108925
107	4070	109003
108	4111	109044
109	4162	109369
110	4196	109217
111	4247	109527
112	4295	109756
113	4335	109765
114	4349	109109
115	4388	109112
116	4428	109111
117	4471	109206
118	4520	109432
119	4561	109475
120	4580	108979
121	4614	108858
122	4653	108841
123	4693	108855
124	4736	108945
125	4781	109063
126	4828	109233
127	4851	108847
128	4892	108894
129	4934	108944
130	4980	109067
131	5005	108759
132	5047	108803
133	5088	108837
134	5133	108945
135	5164	108763
136	5192	108515
137	5248	108849
138	5291	108922
139	5324	108771
140	5364	108769
141	5381	108312
142	5394	107774
143	5428	107670
144	5443	107174
145	5478	107091
146	5516	107067
147	5558	107104
148	5596	107083
149	5635	107076
150	5677	107120
151	5717	107122
152	5763	107239
153	5775	106730
154	5814	106719
155	5839	106455
156	5886	106587
157	5929	106653
158	5971	106700
159	6014	106755
160	6033	106388
161	6089	106679
162	6140	106879
163	6200	107218
164	6248	107367
165	6292	107431
166	6333	107440
167	6370	107388
168	6412	107411
169	6450	107384
170	6498	107505
171	6515	107133
172	6557	107149
173	6599	107178
174	6637	107142
175	6660	106870
176	6708	106991
177	6755	107101
178	6775	106776
179	6800	106545
180	6836	106479
181	6883	106574
182	6924	106589
183	6951	106395
184	6990	106369
185	7032	106398
186	7044	105972
187	7086	106001
188	7130	106054
189	7172	106079
190	7217	106143
191	7257	106143
192	7296	106121
193	7336	106110
194	7375	106094
195	7423	106206
196	7465	106223
197	7508	106259
198	7550	106277
199	7590	106264
200	7619	106110
201	7657	106067
202	7698	106073
203	7735	106021
204	7773	105982
205	7808	105912
206	7836	105737
207	7873	105690
208	7929	105885
209	7965	105833
210	8004	105799
211	8058	105972
212	8103	106036
213	8137	105944
214	8179	105952
215	8220	105955
216	8269	106061
217	8310	106053
218	8348	106012
219	8387	105989
220	8405	105692
221	8449	105738
222	8487	105699
223	8526	105672
224	8565	105638
225	8590	105443
226	8632	105456
227	8665	105356
228	8703	105320
229	8741	105281
230	8778	105227
231	8814	105164
232	8855	105161
233	8893	105124
234	8934	105123
235	8973	105092
236	9013	105079
237	9059	105138
238	9102	105151
239	9136	105071
240	9175	105046
241	9215	105026
242	9261	105073
243	9306	105115
244	9351	105153
245	9388	105103
246	9438	105197
247	9485	105253
248	9529	105279
249	9566	105231
250	9608	105236
251	9641	105136
252	9680	105108
253	9719	105078
254	9760	105073
255	9797	105022
256	9833	104956
257	9873	104935
258	9914	104926
259	9951	104871
260	9990	104839
261	10024	104764
262	10063	104734
263	10104	104722
264	10148	104743
265	10187	104708
266	10230	104720
267	10268	104677
268	10304	104611
269	10339	104544
270	10381	104540
271	10424	104552
272	10470	104590
273	10514	104604
274	10558	104626
275	10595	104577
276	10632	104521
277	10672	104501
278	10713	104487
279	10758	104512
280	10802	104524
281	10849	104575
282	10906	104711
283	10955	104768
284	10991	104708
285	11032	104695
286	11073	104678
287	11118	104703
288	11154	104633
289	11196	104630
290	11232	104565
291	11271	104531
292	11318	104574
293	11363	104590
294	11398	104517
295	11437	104480
296	11478	104465
297	11517	104431
298	11557	104404
299	11602	104426
300	11647	104439
301	11687	104412
302	11733	104441
303	11775	104427
304	11815	104401
305	11857	104395
306	11895	104351
307	11931	104287
308	11969	104239
309	12009	104215
310	12083	104481
311	12129	104500
312	12168	104458
313	12204	104399
314	12243	104358
315	12281	104318
316	12321	104284
317	12369	104321
318	12407	104279
319	12445	104234
320	12484	104192
321	12536	104261
322	12577	104243
323	12628	104300
324	12667	104265
325	12707	104233
326	12745	104183
327	12784	104143
328	12823	104108
329	12857	104027
330	12902	104037
331	12939	103986
332	12982	103979
333	13022	103944
334	13062	103917
335	13101	103875
336	13137	103809
337	13178	103790
338	13213	103721
339	13252	103679
340	13290	103633
341	13334	103632
342	13371	103576
343	13410	103537
344	13448	103495
345	13495	103516
346	13538	103510
347	13582	103504
348	13622	103475
349	13664	103461
350	13706	103446
351	13745	103402
352	13789	103400
353	13829	103369
354	13870	103342
355	13910	103310
356	13950	103279
357	13987	103227
358	14024	103171
359	14067	103159
360	14105	103115
361	14145	103083
362	14185	103048
363	14225	103017
364	14269	103012
365	14306	102960
366	14353	102978
367	14404	103020
368	14446	103006
369	14485	102965
370	14529	102960
371	14595	103111
372	14656	103222
373	14697	103198
374	14743	103201
375	14786	103188
376	14831	103187
377	14871	103155
378	14920	103182
379	14962	103165
380	15014	103208
381	15053	103169
382	15093	103133
383	15129	103072
384	15169	103034
385	15209	102999
386	15247	102949
387	15283	102885
388	15317	102813
389	15355	102763
390	15394	102723
391	15433	102683
392	15470	102625
393	15512	102600
394	15550	102553
395	15591	102522
396	15636	102524
397	15676	102486
398	15717	102461
399	15759	102439
400	15800	102409
401	15836	102344
402	15873	102291
403	15914	102264
404	15958	102251
405	15996	102206
406	16042	102204
407	16100	102284
408	16141	102258
409	16194	102303
410	16232	102255
411	16275	102235
412	16317	102210
413	16358	102181
414	16397	102141
415	16447	102164
416	16496	102184
417	16545	102199
418	16587	102175
419	16625	102129
420	16675	102149
421	16715	102115
422	16755	102079
423	16804	102095
424	16841	102039
425	16884	102021
426	16920	101960
427	16965	101948
428	17006	101921
