iter	Passed	Remaining
0	56	168146
1	96	144330
2	141	141326
3	183	137169
4	228	136672
5	279	139611
6	328	140532
7	371	138979
8	427	142111
9	479	143501
10	527	143210
11	569	141922
12	615	141530
13	650	138760
14	705	140328
15	716	133610
16	766	134557
17	815	135155
18	864	135666
19	911	135762
20	962	136563
21	1013	137246
22	1065	137943
23	1092	135423
24	1152	137152
25	1185	135651
26	1243	136883
27	1266	134482
28	1318	135099
29	1374	136123
30	1428	136825
31	1487	137931
32	1541	138568
33	1571	137051
34	1633	138363
35	1692	139360
36	1744	139712
37	1798	140200
38	1851	140596
39	1903	140829
40	1959	141424
41	2021	142396
42	2071	142429
43	2124	142713
44	2183	143400
45	2235	143575
46	2287	143724
47	2340	143963
48	2352	141681
49	2399	141554
50	2415	139677
51	2463	139680
52	2512	139730
53	2572	140316
54	2627	140679
55	2652	139436
56	2674	138074
57	2725	138250
58	2756	137401
59	2810	137737
60	2863	137982
61	2914	138132
62	2959	137975
63	3013	138230
64	3066	138464
65	3115	138506
66	3160	138370
67	3216	138683
68	3263	138607
69	3309	138507
70	3357	138498
71	3387	137748
72	3440	137950
73	3493	138139
74	3554	138608
75	3605	138713
76	3688	140010
77	3742	140210
78	3799	140482
79	3847	140439
80	3903	140659
81	3957	140818
82	4012	141016
83	4082	141721
84	4136	141863
85	4189	141956
86	4266	142838
87	4334	143441
88	4403	144025
89	4469	144511
90	4535	144993
91	4605	145584
92	4672	146050
93	4744	146665
94	4771	145900
95	4838	146368
96	4930	147553
97	4996	147949
98	5060	148297
99	5125	148640
100	5193	149055
101	5260	149473
102	5329	149888
103	5403	150473
104	5473	150898
105	5545	151396
106	5574	150714
107	5644	151156
108	5709	151440
109	5782	151921
110	5835	151881
111	5910	152405
112	5976	152688
113	6052	153224
114	6136	153942
115	6212	154457
116	6288	154952
117	6366	155491
118	6450	156173
119	6480	155539
120	6561	156128
121	6642	156691
122	6704	156821
123	6930	160748
124	7897	181652
125	8258	188373
126	8362	189168
127	8479	190263
128	8577	190908
129	8602	189924
130	8690	190332
131	9005	195655
132	9353	201624
133	9458	202300
134	9556	202804
