iter	Passed	Remaining
0	23	71186
1	69	104182
2	115	115064
3	163	122519
4	203	121838
5	243	121714
6	283	121011
7	322	120755
8	363	120748
9	392	117294
10	400	108929
11	439	109362
12	479	110068
13	528	112754
14	567	112865
15	610	113949
16	653	114665
17	699	115825
18	724	113681
19	763	113706
20	790	112205
21	815	110360
22	856	110921
23	898	111388
24	937	111611
25	957	109487
26	990	109075
27	1030	109411
28	1068	109515
29	1083	107248
30	1110	106314
31	1149	106593
32	1185	106586
33	1213	105854
34	1251	106037
35	1290	106238
36	1328	106420
37	1366	106548
38	1408	106966
39	1446	107073
40	1485	107244
41	1524	107398
42	1568	107838
43	1609	108116
44	1650	108370
45	1690	108553
46	1735	109013
47	1744	107305
48	1766	106369
49	1785	105349
50	1816	105042
51	1862	105600
52	1894	105325
53	1933	105460
54	1971	105579
55	2010	105708
56	2052	105977
57	2092	106136
58	2133	106362
59	2176	106657
60	2223	107129
61	2271	107630
62	2290	106775
63	2327	106787
64	2365	106814
65	3288	146201
66	3410	149302
67	3455	149008
68	3579	152052
69	3737	156440
70	3905	161125
71	4059	165092
72	4186	167847
73	4270	168873
74	4408	171919
75	4477	172248
76	4503	170942
77	4560	170859
78	4617	170735
79	4674	170616
80	4713	169875
81	4769	169737
82	4846	170332
83	4924	170937
84	5003	171583
85	5046	171010
86	5100	170773
87	5155	170606
88	5218	170700
89	5237	169357
90	5292	169185
91	5346	168996
92	5407	169037
93	5470	169129
94	5528	169070
95	5591	169138
96	5652	169164
97	5715	169235
98	5762	168848
99	5834	169212
100	5949	170765
101	6059	172152
102	6122	172189
103	6194	172488
104	6289	173400
105	6360	173664
106	6377	172423
107	6442	172503
108	6514	172771
109	6582	172929
110	6609	172016
111	6683	172342
112	6770	172982
113	6872	173979
114	7097	178047
115	7603	189031
116	7707	189909
117	7889	192680
118	8047	194822
119	8145	195492
120	8234	195925
121	8300	195799
122	8362	195601
123	8428	195492
124	8503	195574
125	9134	208354
126	9391	212451
127	9943	223110
128	10566	235176
129	10827	239040
130	10964	240121
131	11075	240630
132	11166	240706
133	11248	240577
134	11316	240162
135	11388	239821
136	11464	239573
137	11538	239292
138	11614	239053
139	11662	238257
140	11739	238037
141	11826	238028
142	11844	236640
143	11921	236448
144	11996	236210
145	12084	236234
146	12172	236242
147	12250	236077
148	12337	236061
149	12411	235811
150	12420	234351
151	12500	234221
152	12582	234140
153	12623	233281
154	12645	232112
155	12716	231825
156	12788	231584
157	12859	231300
158	12913	230734
159	12974	230289
160	13028	229736
161	13094	229395
162	13164	229124
163	13244	229027
164	13316	228794
165	13375	228348
166	13450	228175
167	13536	228193
168	13606	227923
169	13663	227464
170	13697	226617
171	13770	226407
172	13838	226129
173	13919	226078
174	13993	225887
175	14047	225401
176	14124	225281
177	14179	224800
178	14234	224332
179	14316	224295
180	14382	223993
181	14411	223148
182	14471	222773
183	14527	222339
184	14563	221605
185	14625	221263
186	14706	221231
187	14765	220856
188	14841	220741
189	14902	220406
190	14977	220269
191	15037	219917
192	15095	219550
193	15152	219171
194	15214	218852
195	15275	218539
196	15338	218246
197	15407	218045
198	15479	217873
199	15543	217604
200	15559	216677
201	15625	216436
202	15689	216177
203	15753	215913
204	15816	215646
205	15882	215420
206	15941	215101
207	16013	214948
208	16087	214831
209	16168	214816
210	16244	214721
211	16322	214650
212	16397	214558
213	16489	214672
214	16565	214577
215	16655	214667
216	16734	214623
217	16801	214412
218	16867	214191
219	16941	214077
220	16972	213427
221	17035	213173
222	17104	212995
223	17182	212934
224	17251	212771
225	17317	212559
226	17393	212476
227	17487	212615
228	17563	212523
229	17644	212501
230	17708	212277
231	17760	211903
232	17837	211828
233	17901	211601
234	17960	211326
235	18025	211110
236	18110	211136
237	18181	210999
238	18243	210759
239	18309	210563
240	18385	210480
241	18459	210372
242	18544	210405
243	18623	210357
244	18700	210281
245	18782	210275
246	18855	210162
247	18916	209916
248	18994	209850
249	19060	209665
250	19191	210186
251	19340	210900
252	19440	211081
253	19819	214273
254	19947	214728
255	20060	215028
256	20160	215176
257	20246	215181
258	20336	215220
259	20430	215309
260	20551	215671
261	20645	215758
262	20703	215453
263	20759	215145
264	20819	214876
265	20882	214634
266	20942	214367
267	21007	214151
268	21105	214276
269	21180	214162
270	21243	213923
271	21327	213903
272	21393	213704
273	21473	213635
274	21548	213524
275	21623	213409
276	21691	213236
277	21771	213174
278	21853	213129
279	21921	212952
280	21984	212722
281	22047	212502
282	22141	212576
283	22220	212503
284	22293	212370
285	22368	212268
286	22430	212035
287	22493	211814
